objectid,identifier,negative number,title,date,searchable date,decade,description,bio/historical note,creator,publisher,reference,subject,subject (tcau),building name,people,organizations,campus events,location,resource type,original physical format,exhibits,format,contributing institution,language,collection,ordering and permissions,n/a (transcription) font size significantly decreased for visibility of cells,background unknown,background identifier,background date,background date,background link,cdmid,background identifier,background link,reference_url
"historicboise001","AR 001192","","Assembly Hall","1950; 1951; 1952; 1953; 1954; 1955; 1956; 1957; 1958; 1959","","1950s","View of the Assembly Hall (Auditorium).","The Assembly Hall was one of the original buildings on the campus, built by the Works Projects Administration (WPA) and completed in 1940. In the 1960s the college catalogs and campus maps designated it either as the Auditorium or Music Auditorium;beginning in the 1975-76 catalog it was designated the Music Building. In 1986 it was rededicated as the Hemingway Western Studies Center.","Unknown","","","Boise State University;","","Assembly Hall;Music Auditorium;Music Building;Hemingway Western Studies Center;","","","","Boise (Idaho)","Image:StillImage","b/w photo","","image/jpeg","Boise State University Library, Special Collections and Archives","","University Archives","","","","","3/31/2009","3/31/2009","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/19","19","","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/19","https://dcnb.github.io//bsu-demo/items/historicboise001.html"
"historicboise002","AR 022733","7702-013-E3","Weight training","1977","","1970s","Female student using a seated leg press.","","","","","Boise State University;Weight lifting;Physical education;","","","","","","","Image:StillImage","b/w photo","","image/jpeg","Boise State University Library, Special Collections and Archives","","University Archives","","","ep 8/08","200.jpg","3/31/2009","3/31/2009","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/20","20","200.jpg","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/20","https://dcnb.github.io//bsu-demo/items/historicboise002.html"
"historicboise003","AR 022737","","Kayaking class","1970; 1971; 1972; 1973; 1974; 1975; 1976; 1977; 1978; 1979","","1970s","Student learns to paddle in her kayak, as an instructor helps steady the boat.","","","","","Boise State University;Kayaks;Women athletes;Physical education;","","","","","Athletics;","","Image:StillImage","b/w photo","","image/jpeg","Boise State University Library, Special Collections and Archives","","University Archives","","","update 8/08 ep","201.jpg","3/31/2009","3/31/2009","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/21","21","201.jpg","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/21","https://dcnb.github.io//bsu-demo/items/historicboise003.html"
"historicboise004","AR 026761","O9109-020-A3","Respiratory testing","1990; 1991; 1992; 1993; 1994; 1995; 1996; 1997; 1998; 1999","","1990s","A Kinesiology student uses electronic equipment to measure a cyclist&#39;s performance as the cyclist pedals a stationary bicycle.","","","","","Boise State University;Laboratories;Bicycles &amp; tricycles;Kinesiology","","","","","","","Image:StillImage","b/w photo","","image/jpeg","Boise State University Library, Special Collections and Archives","","University Archives","","","ep 8/08","202.jpg","3/31/2009","3/31/2009","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/22","22","202.jpg","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/22","https://dcnb.github.io//bsu-demo/items/historicboise004.html"
"historicboise005","AR 023124","7611-034-D5","Dorm life","11/19/1976","","1970s","The Driscoll Hall team participating in the &quot;Anything Goes&quot; a dormitory competition sponsored by Morrison Hall during Homecoming. Each dorm had a 4 person, coed, team which competed in a variety of stunts for a trophy. The event was held in on the baseball field. Driscoll Hall won the trophy.","","","","Published in Les Bois 1977, page 178","Boise State University;Dormitories","","Driscoll Hall","","","Homecoming;","Boise (Idaho)","Image:StillImage","b/w photo","","image/jpeg","Boise State University Library, Special Collections and Archives","","University Archives","","","","1007.jpg","3/31/2009","3/31/2009","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/23","23","1007.jpg","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/23","https://dcnb.github.io//bsu-demo/items/historicboise005.html"
"historicboise006","AR 000236","","Aerial view, 1940s","1949","","1940s","Aerial view from the west of the campus in the late 1940s. The Administration building is in the center of the photo. Toward the bottom right is the new Round House drive-in restaurant, later the Student Health Center.","The first Bronco Stadium was where the current Student Union building stands.","Unknown","","Published in &quot;The BJC Roundup,&quot; October 26, 1954, page 1.","Boise State University;Aerial photographs;","","Administration Building;Bronco Stadium (1940-1950);Student Health Center;Health and Wellness Center","","","","Boise River (Idaho);Boise Foothills (Idaho);","Image:StillImage","b/w photo","","image/jpeg","Boise State University Library, Special Collections and Archives","","University Archives","","","ep 8/08. Roundhouse Rest. but no dorms;old stadium AV 1/09","204.jpg","3/31/2009","3/31/2009","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/25","25","204.jpg","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/25","https://dcnb.github.io//bsu-demo/items/historicboise006.html"
"historicboise007","AR 000218","","Aerial view, 1960s","10/25/1960","","1960s","Aerial view from the west of the campus.","","Unknown","","","Boise State University;Boise River (Idaho);Boise (Idaho)--Aerial views","","","","","","","Image:StillImage","b/w photo","","image/jpeg","Boise State University Library, Special Collections and Archives","","University Archives","","","","205.jpg","3/31/2009","3/31/2009","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/26","26","205.jpg","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/26","https://dcnb.github.io//bsu-demo/items/historicboise007.html"
"historicboise008","AR 000256","","Aerial view, 1950s","1951; 1952; 1953; 1954; 1955","","1950s","Aerial view of campus from the northeast in the early 1950s.","","Unknown","","","Boise State University;Dormitories","","Administration Building;Morrison Hall;Driscoll Hall;","","","","Boise River (Idaho);","Image:StillImage","b/w photo","","image/jpeg","Boise State University Library, Special Collections and Archives","","University Archives","","","Dorms but no Science Bldg AV 1/09","206.jpg","3/31/2009","3/31/2009","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/27","27","206.jpg","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/27","https://dcnb.github.io//bsu-demo/items/historicboise008.html"
"historicboise009","AR 000203","","Aerial view, 1960s","11/4/1963","","1960s","Business Building campus from the south east. The Stadium and the Gymnasium are the focus of this photograph.","","Unknown","","","Boise State University;Aerial photographs;","","Bronco Stadium (1950-1970);Gymnasium;Kinesiology Building;Human Performance Center;","","","","Boise River (Idaho);Boise (Idaho);","Image:StillImage","b/w photo","","image/jpeg","Boise State University Library, Special Collections and Archives","","University Archives","","","ep 8/08","207.jpg","3/31/2009","3/31/2009","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/28","28","207.jpg","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/28","https://dcnb.github.io//bsu-demo/items/historicboise009.html"
"historicboise010","AR 025081","","Aerial view, 1960s","1966; 1967; 1968","","1960s","Aerial view of campus from the mid 1960s. Construction of the Student Union Building and Chaffee Hall can be seen in the background. The horseshoe drive which once led from the river to the Administration Building can be seen a few years before its removal to make way for the Business Building.","","","","","Boise State University;Aerial photographs;","","Chaffee Hall;Student Union (1967- );Administration Building;Bronco Stadium (1950-1970);Administration Building;Library;","","","","Boise River (Idaho);","Image:StillImage","b/w photo","","image/jpeg","Boise State University Library, Special Collections and Archives","","University Archives","","","ep 8/08","208.jpg","3/31/2009","3/31/2009","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/29","29","208.jpg","http://cdm15948.contentdm.oclc.org/cdm/ref/collection/archives/id/29","https://dcnb.github.io//bsu-demo/items/historicboise010.html"
