subject,count,link
"boise state university",3938,"https://dcnb.github.io//bsu-demo/browse.html#boise%20state%20university"
"unknown",586,"https://dcnb.github.io//bsu-demo/browse.html#unknown"
"university photographic services",574,"https://dcnb.github.io//bsu-demo/browse.html#university%20photographic%20services"
"football",319,"https://dcnb.github.io//bsu-demo/browse.html#football"
"football players",141,"https://dcnb.github.io//bsu-demo/browse.html#football%20players"
"student government",139,"https://dcnb.github.io//bsu-demo/browse.html#student%20government"
"graduation ceremonies",137,"https://dcnb.github.io//bsu-demo/browse.html#graduation%20ceremonies"
"dormitories",129,"https://dcnb.github.io//bsu-demo/browse.html#dormitories"
"fraternities & sororities",90,"https://dcnb.github.io//bsu-demo/browse.html#fraternities%20&%20sororities"
"student programs board",89,"https://dcnb.github.io//bsu-demo/browse.html#student%20programs%20board"
"aerial photographs",88,"https://dcnb.github.io//bsu-demo/browse.html#aerial%20photographs"
"women athletes",82,"https://dcnb.github.io//bsu-demo/browse.html#women%20athletes"
"photographic services",82,"https://dcnb.github.io//bsu-demo/browse.html#photographic%20services"
"vocational education",77,"https://dcnb.github.io//bsu-demo/browse.html#vocational%20education"
"marching bands",71,"https://dcnb.github.io//bsu-demo/browse.html#marching%20bands"
"basketball",71,"https://dcnb.github.io//bsu-demo/browse.html#basketball"
"coaches (athletics)",68,"https://dcnb.github.io//bsu-demo/browse.html#coaches%20(athletics)"
"buildings",60,"https://dcnb.github.io//bsu-demo/browse.html#buildings"
"dance parties",58,"https://dcnb.github.io//bsu-demo/browse.html#dance%20parties"
"classrooms",57,"https://dcnb.github.io//bsu-demo/browse.html#classrooms"
"sports",53,"https://dcnb.github.io//bsu-demo/browse.html#sports"
"theatrical productions",51,"https://dcnb.github.io//bsu-demo/browse.html#theatrical%20productions"
"horses",45,"https://dcnb.github.io//bsu-demo/browse.html#horses"
"mascots",45,"https://dcnb.github.io//bsu-demo/browse.html#mascots"
"cheerleading",45,"https://dcnb.github.io//bsu-demo/browse.html#cheerleading"
"university archives",45,"https://dcnb.github.io//bsu-demo/browse.html#university%20archives"
"libraries",43,"https://dcnb.github.io//bsu-demo/browse.html#libraries"
"alumni & alumnae",40,"https://dcnb.github.io//bsu-demo/browse.html#alumni%20&%20alumnae"
"athletes",38,"https://dcnb.github.io//bsu-demo/browse.html#athletes"
"franklin carr",38,"https://dcnb.github.io//bsu-demo/browse.html#franklin%20carr"
"construction",37,"https://dcnb.github.io//bsu-demo/browse.html#construction"
"student union",36,"https://dcnb.github.io//bsu-demo/browse.html#student%20union"
"broncos",36,"https://dcnb.github.io//bsu-demo/browse.html#broncos"
"sculpture",35,"https://dcnb.github.io//bsu-demo/browse.html#sculpture"
"stan lloyd",35,"https://dcnb.github.io//bsu-demo/browse.html#stan%20lloyd"
"parades",35,"https://dcnb.github.io//bsu-demo/browse.html#parades"
"snow",35,"https://dcnb.github.io//bsu-demo/browse.html#snow"
"winter",34,"https://dcnb.github.io//bsu-demo/browse.html#winter"
"fund raising",34,"https://dcnb.github.io//bsu-demo/browse.html#fund%20raising"
"biology",32,"https://dcnb.github.io//bsu-demo/browse.html#biology"
"group portraits",31,"https://dcnb.github.io//bsu-demo/browse.html#group%20portraits"
"boise junior college",30,"https://dcnb.github.io//bsu-demo/browse.html#boise%20junior%20college"
"laboratories",30,"https://dcnb.github.io//bsu-demo/browse.html#laboratories"
"art education",30,"https://dcnb.github.io//bsu-demo/browse.html#art%20education"
"awards",30,"https://dcnb.github.io//bsu-demo/browse.html#awards"
"automobiles",29,"https://dcnb.github.io//bsu-demo/browse.html#automobiles"
"public speaking",28,"https://dcnb.github.io//bsu-demo/browse.html#public%20speaking"
"track athletics",28,"https://dcnb.github.io//bsu-demo/browse.html#track%20athletics"
"college presidents",27,"https://dcnb.github.io//bsu-demo/browse.html#college%20presidents"
"computers",26,"https://dcnb.github.io//bsu-demo/browse.html#computers"
"athletics",24,"https://dcnb.github.io//bsu-demo/browse.html#athletics"
"boise river (idaho)",24,"https://dcnb.github.io//bsu-demo/browse.html#boise%20river%20(idaho)"
"floats (parades)",23,"https://dcnb.github.io//bsu-demo/browse.html#floats%20(parades)"
"librarians",23,"https://dcnb.github.io//bsu-demo/browse.html#librarians"
"ground breaking ceremonies",22,"https://dcnb.github.io//bsu-demo/browse.html#ground%20breaking%20ceremonies"
"physical education",22,"https://dcnb.github.io//bsu-demo/browse.html#physical%20education"
"bicycles & tricycles",21,"https://dcnb.github.io//bsu-demo/browse.html#bicycles%20&%20tricycles"
"basketball players",21,"https://dcnb.github.io//bsu-demo/browse.html#basketball%20players"
"receptions",21,"https://dcnb.github.io//bsu-demo/browse.html#receptions"
"teachers",21,"https://dcnb.github.io//bsu-demo/browse.html#teachers"
"rodeos",20,"https://dcnb.github.io//bsu-demo/browse.html#rodeos"
"studying",19,"https://dcnb.github.io//bsu-demo/browse.html#studying"
"ephemera",19,"https://dcnb.github.io//bsu-demo/browse.html#ephemera"
"governors",18,"https://dcnb.github.io//bsu-demo/browse.html#governors"
"student union and activities",18,"https://dcnb.github.io//bsu-demo/browse.html#student%20union%20and%20activities"
"construction equipment",18,"https://dcnb.github.io//bsu-demo/browse.html#construction%20equipment"
"boise (idaho)--aerial views",18,"https://dcnb.github.io//bsu-demo/browse.html#boise%20(idaho)--aerial%20views"
"student organizations",18,"https://dcnb.github.io//bsu-demo/browse.html#student%20organizations"
"retirements",18,"https://dcnb.github.io//bsu-demo/browse.html#retirements"
"chemistry",18,"https://dcnb.github.io//bsu-demo/browse.html#chemistry"
"homecomings",17,"https://dcnb.github.io//bsu-demo/browse.html#homecomings"
"rafts",17,"https://dcnb.github.io//bsu-demo/browse.html#rafts"
"engineering",17,"https://dcnb.github.io//bsu-demo/browse.html#engineering"
"parking",17,"https://dcnb.github.io//bsu-demo/browse.html#parking"
"volleyball",17,"https://dcnb.github.io//bsu-demo/browse.html#volleyball"
